Date,Management Plot ID,SAVI,Irrigation Applied,Accumulated Irrigation Applied,Month,Day,Year,Unix Timestamp,DOY,Max Temperature,Min Temperature,Relative Humidity,Soil Temperature @ 10 cm,Wind Speed,Solar Radiation,Precipitation,GDD 20 yr avg,ETr 20 yr avg,Max Temp 20yr Avg,Min Temp 20 yr Avg,Daily Reference ET,GDD,VPD,Accumulated GDD,Accumulated ETr,Accumulated Precipitation,Epoch Planting Date,Grain Yield,Fertilization Rate,Fertilization Epoch Date,"Easting (mangement plot), m","Northing (mangement plot), m",Sand Fraction,Silt Fraction,Clay Fraction,Soil Organic Matter,Sat. Hydraulic Conductivity,Available Water Capacity,Field Capacity,Wilting Point,Dist. to Weather Station,"Electroconductivity, Shallow","Electroconductivity, Deep",Elevation
5/3/2024,201,0.011757341,0,0,5,3,2024,1714694400,124,21.76,4.65,65.74,12.895,3.15,21.49,5.33,5.898225,4.290903357,20.84905,7.2239,4.747803618,5.88,0.592137532,35.05,27.8335218,47.74,1682467200,195.3,101.9,1710201600,715628.0742,4560200.903,14.8,59.4,25.8,0.32,2.5389,0.19,0.291,0.144,2274.964674,35.25613403,40.70276451,355.9033172
5/4/2024,201,0.013436961,0,0,5,4,2024,1714780800,125,16.64,7.38,72.44,14.555,4.25,20.8,14.99,6.40095,4.347236177,21.70545,8.5453,4.044983978,3.32,0.402687953,38.37,31.87850578,53.07,1682467200,195.3,101.9,1710201600,715628.0742,4560200.903,14.8,59.4,25.8,0.32,2.5389,0.19,0.291,0.144,2274.964674,35.25613403,40.70276451,355.9033172
5/5/2024,201,0.015116581,0,0,5,5,2024,1714867200,126,18.19,4.4,70.285,13.29,2.89,21.6,0,7.64935,5.009038391,23.97975,9.17695,3.959339381,4.095,0.434614536,42.465,35.83784516,68.06,1682467200,195.3,101.9,1710201600,715628.0742,4560200.903,14.8,59.4,25.8,0.32,2.5389,0.19,0.291,0.144,2274.964674,35.25613403,40.70276451,355.9033172
5/6/2024,201,0.016796201,0,0,5,6,2024,1714953600,127,20.28,11.04,86.695,13.78,5.28,7.72,11.43,8.051125,5.415134585,24.68475,9.87915,2.316655059,5.66,0.245831643,48.125,38.15450022,68.06,1682467200,195.3,101.9,1710201600,715628.0742,4560200.903,14.8,59.4,25.8,0.32,2.5389,0.19,0.291,0.144,2274.964674,35.25613403,40.70276451,355.9033172
5/7/2024,201,0.018475821,0,0,5,7,2024,1715040000,128,22.59,9.51,60.07,14.445,5,24.38,0,7.216175,4.7711218,22.7771,10.14215,6.612900873,6.295,0.78437234,54.42,44.76740109,79.49,1682467200,195.3,101.9,1710201600,715628.0742,4560200.903,14.8,59.4,25.8,0.32,2.5389,0.19,0.291,0.144,2274.964674,35.25613403,40.70276451,355.9033172
5/8/2024,201,0.040500312,0,0,5,8,2024,1715126400,129,24.71,12.6,45.335,16.025,3.69,23.44,0.25,7.352075,5.057897715,23.1056,10.04425,7.839679659,8.655,1.249777546,63.075,52.60708075,79.49,1682467200,195.3,101.9,1710201600,715628.0742,4560200.903,14.8,59.4,25.8,0.32,2.5389,0.19,0.291,0.144,2274.964674,35.25613403,40.70276451,355.9033172
5/9/2024,201,0.062524803,0,0,5,9,2024,1715212800,130,21.23,8.06,65.04,15.425,3.69,25.46,0,7.3123,4.075085914,23.04465,9.78715,5.469876864,5.615,0.629195933,68.69,58.07695761,79.74,1682467200,195.3,101.9,1710201600,715628.0742,4560200.903,14.8,59.4,25.8,0.32,2.5389,0.19,0.291,0.144,2274.964674,35.25613403,40.70276451,355.9033172
5/10/2024,201,0.084549294,0,0,5,10,2024,1715299200,131,24.3,7.86,59.2,16.16,3.12,22.67,0,6.40295,3.514670511,21.0804,9.40655,5.873351674,7.15,0.83653351,75.84,63.95030929,79.74,1682467200,195.3,101.9,1710201600,715628.0742,4560200.903,14.8,59.4,25.8,0.32,2.5389,0.19,0.291,0.144,2274.964674,35.25613403,40.70276451,355.9033172
5/11/2024,201,0.106573785,0,0,5,11,2024,1715385600,132,27.03,6.75,55.21,17.735,2.13,25.6,0,6.022825,3.533826248,20.74385,8.80985,6.093732744,8.515,1.020407902,84.355,70.04404203,79.74,1682467200,195.3,101.9,1710201600,715628.0742,4560200.903,14.8,59.4,25.8,0.32,2.5389,0.19,0.291,0.144,2274.964674,35.25613403,40.70276451,355.9033172
5/12/2024,201,0.128598276,0,0,5,12,2024,1715472000,133,26.59,12.84,68.22,18.35,1.88,16.03,8.88,6.191725,4.589442879,21.7882,8.2516,4.305941886,9.715,0.788563639,94.07,74.34998392,79.74,1682467200,195.3,101.9,1710201600,715628.0742,4560200.903,14.8,59.4,25.8,0.32,2.5389,0.19,0.291,0.144,2274.964674,35.25613403,40.70276451,355.9033172
