site_id,plot_id,date,year,Year,Year,DOY,Month,Week,Day,DAP,unix_ts,Easting,Northing,Elev_m,Slope_deg,TWI,pct_clay,pct_sand,pct_silt,pct_om,Ksat_um_s,Precip_mm,Irrigation_mm,ETref_mm,RelHum_pct,WindSpeed_m_s,SolarRad_MJ_m2_d,SoilTemp_C_10cm,T_high_C,T_low_C,Cum_Irrigation_mm,Cum_ETref_mm,Cum_GDD_base10_Cd,GDD_base10_Cd,GDD_base4p4_Cd,SAVI,savi_is_sentinel,DSAVI,VV_median_dB,VH_median_dB,VV_median_last_dB,VH_median_last_dB,VVVH_last_dB,dVV_median_obs_dB,dVH_median_obs_dB,SAR_obs,SAR_days_since,SWD_mech,SWD_prev_mm,N_kg_ha,AWC,CF,DP,Days_Since_Fert,ETa_SIMS,FC,RO_CN,WP,cos_DOY,sin_DOY,Date,Management_Plot_ID
scal,16,5/7/2023,2023,2023,2023,127,5,18,7,1108,1683417600,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,1.27,0,8.661,62,3.174,24.79,18.111,29.944,13.611,0,8.661,11.7,11.7,14.4,0.02,0,0.001038298,-11.23360882,-17.08372828,-11.04299434,-16.83841593,6.073418649,0.007063377,0.150519429,0,4,29.542,29.192,271.5941,0.17,29.542,0,1116,1.62,0.283,0,0.176,-0.577291617,0.816538051,5/7/2023,16
scal,16,5/8/2023,2023,2023,2023,128,5,19,8,1109,1683504000,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,8.788,55,2.593,27.06,18.167,28.889,10.778,0,17.449,21.1,9.4,13.3,0.035,0,0.015,-11.23360882,-17.08372828,-11.04299434,-16.83841593,6.073418649,0.007063377,0.150519429,0,4,31.254,29.542,271.5941,0.17,31.254,0,1117,1.712,0.283,0,0.176,-0.591261445,0.806479946,5/8/2023,16
scal,16,5/9/2023,2023,2023,2023,129,5,19,9,1110,1683590400,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,8.636,0,3.886,77,3.532,12.13,16.389,20.389,12.944,0,21.335,27.8,6.7,12.2,0.05,0,0.015,-11.23360882,-17.08372828,-11.04299434,-16.83841593,6.073418649,0.007063377,0.150519429,0,4,23.658,31.254,271.5941,0.17,23.658,0,1118,1.044,0.283,0,0.176,-0.60505607,0.796182864,5/9/2023,16
scal,16,5/10/2023,2023,2023,2023,130,5,19,10,1111,1683676800,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,4.801,77,2.682,14.73,16.167,26.833,12.111,0,26.136,37.2,9.4,13.9,0.065,0,0.015,-11.23360882,-17.08372828,-11.04299434,-16.83841593,6.073418649,0.007063377,0.150519429,0,4,25.01,23.658,271.5941,0.17,25.01,0,1119,1.352,0.283,0,0.176,-0.618671403,0.785649855,5/10/2023,16
scal,16,5/11/2023,2023,2023,2023,131,5,19,11,1112,1683763200,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0.762,0,6.02,76,4.649,19.75,17.778,25,14.944,0,32.156,46.6,9.4,15,0.08,0,0.015,-11.23360882,-17.08372828,-11.04299434,-16.83841593,6.073418649,0.007063377,0.150519429,0,4,25.589,25.01,271.5941,0.17,25.589,0,1120,1.339,0.283,0,0.176,-0.632103411,0.774884041,5/11/2023,16
scal,16,5/12/2023,2023,2023,2023,132,5,19,12,1113,1683849600,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,1.016,0,7.137,68,4.426,18.12,17.944,25.722,14.889,0,39.293,56.6,10,15,0.095,0,0.015,-11.23360882,-17.08372828,-11.04299434,-16.83841593,6.073418649,0.007063377,0.150519429,0,4,26.076,25.589,271.5941,0.17,26.076,0,1121,1.497,0.283,0,0.176,-0.645348113,0.763888613,5/12/2023,16
scal,16,5/13/2023,2023,2023,2023,133,5,19,13,1114,1683936000,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,6.071,73,4.157,18.53,17.778,25,13.167,0,45.364,65.5,8.9,14.4,0.11,0,0.015,-11.23360882,-17.08372828,-11.04299434,-16.83841593,6.073418649,0.007063377,0.150519429,0,4,27.44,26.076,271.5941,0.17,27.44,0,1122,1.364,0.283,0,0.176,-0.658401585,0.752666828,5/13/2023,16
scal,16,5/14/2023,2023,2023,2023,134,5,19,14,1115,1684022400,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,2.184,85,3.442,6.02,16.556,18.111,11.5,0,47.548,69.9,4.4,10,0.125,0,0.015,-11.23360882,-17.08372828,-11.04299434,-16.83841593,6.073418649,0.007063377,0.150519429,0,4,28.018,27.44,271.5941,0.17,28.018,0,1123,0.578,0.283,0,0.176,-0.671259958,0.741222011,5/14/2023,16
scal,16,5/15/2023,2023,2023,2023,135,5,20,15,1116,1684108800,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,0.991,91,2.19,4.11,14.667,12.222,10.111,0,48.539,71,1.1,6.7,0.14,0,0.015,-11.23360882,-17.08372828,-11.04299434,-16.83841593,6.073418649,0.007063377,0.150519429,0,4,28.357,28.018,271.5941,0.17,28.357,0,1124,0.339,0.283,0,0.176,-0.683919422,0.729557554,5/15/2023,16
scal,16,5/16/2023,2023,2023,2023,136,5,20,16,1117,1684195200,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,6.325,60,2.056,24.17,18.333,24.389,11.778,0,54.864,78.8,7.8,13.3,0.155,0,0.015,-11.23360882,-17.08372828,-11.04299434,-16.83841593,6.073418649,0.007063377,0.150519429,0,4,29.553,28.357,271.5941,0.17,29.553,0,1125,1.196,0.283,0,0.176,-0.696376226,0.717676914,5/16/2023,16
scal,16,5/17/2023,2023,2023,2023,137,5,20,17,1118,1684281600,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,7.849,52,2.19,27.7,19.389,27.278,6.667,0,62.713,87.1,8.3,11.1,0.17,0,0.015,-11.23360882,-17.08372828,-11.04299434,-16.83841593,6.073418649,0.007063377,0.150519429,0,4,31.245,29.553,271.5941,0.17,31.245,0,1126,1.692,0.283,0,0.176,-0.708626678,0.70558361,5/17/2023,16
scal,16,5/18/2023,2023,2023,2023,138,5,20,18,1119,1684368000,573721.8469,4492625.517,551.9692134,0.890714618,5.751165844,37.5,4.9,57.6,1.66,2.88,0,0,6.071,60,2.19,18.38,19.833,26.167,12.5,0,68.784,96,8.9,13.9,0.173333333,0,0.003333333,-12.67390457,-23.7648863,-12.67390457,-23.7648863,11.09098173,0.007063377,0.150519429,1,0,32.569,31.245,271.5941,0.17,32.569,0,1127,1.324,0.283,0,0.176,-0.72066715,0.693281227,5/18/2023,16
